path,included,exclusion_reason,domain,language,total_lines,relevant_lines,assigned_agent,review_pass_1,review_pass_2_if_required,reviewed_ranges,reviewed_lines,coverage_percent,security_relevant,runtime_relevant,database_relevant,integration_relevant,test_relevant,finding_count,status,notes
.dockerignore,yes,,runtime-devops,,13,13,A14-devops,A14-devops,,1-13,13,100,no,no,no,no,no,1,REVIEWED,
.env.example,yes,,runtime-devops,env,115,115,A14-devops,A14-devops,SEC-threat,1-115,115,100,no,no,no,no,no,4,REVIEWED,
.github/workflows/deploy.yml,yes,,runtime-devops,yaml,61,61,A14-devops,A14-devops,SEC-threat,1-61,61,100,no,yes,no,no,no,5,REVIEWED,
.github/workflows/test.yml,yes,,runtime-devops,yaml,90,90,A14-devops,A14-devops,,1-90,90,100,no,yes,no,no,no,4,REVIEWED,
.gitignore,yes,,runtime-devops,,175,175,A14-devops,A14-devops,,1-175,175,100,no,no,no,no,no,1,REVIEWED,
Dockerfile,yes,,runtime-devops,docker,24,24,A14-devops,A14-devops,SEC-threat,1-24,24,100,no,yes,no,no,no,2,REVIEWED,
app/__init__.py,yes,,crm-core,python,0,0,A01-core,A01-core,,empty file,0,100,no,no,no,no,no,0,REVIEWED,
app/auth.py,yes,,crm-auth,python,250,250,A02-auth,A02-auth,PASS2-highrisk+ARCH-crossfile+PASS2-highrisk+SEC-threat,1-250,250,100,yes,no,no,no,no,9,REVIEWED,
app/config.py,yes,,crm-core,python,105,105,A01-core,A01-core,ARCH-crossfile,1-105,105,100,yes,yes,no,no,no,4,REVIEWED,
app/database.py,yes,,crm-core,python,41,41,A01-core,A01-core,,1-41,41,100,no,no,yes,no,no,2,REVIEWED,
app/limiter.py,yes,,crm-core,python,18,18,A01-core,A01-core,ARCH-crossfile+SEC-threat,1-18,18,100,yes,yes,no,no,no,4,REVIEWED,
app/main.py,yes,,crm-core,python,162,162,A01-core,A01-core,A08b-frontend,1-162,162,100,no,yes,no,no,no,8,REVIEWED,
app/models/__init__.py,yes,,crm-models,python,0,0,A03-models,A03-models,,empty file,0,100,no,no,yes,no,no,0,REVIEWED,
