file,linhas_adicionadas,linhas_removidas,diff_lido_pelo_orquestrador,teste_de_regressao,origem
.dockerignore,26,1,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
.env.example,5,0,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
.github/workflows/test.yml,25,4,sim,,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
.gitignore,15,1,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
Dockerfile,15,2,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
app/auth.py,28,5,sim,test_auth_hardening.py;test_auth_session_consistency.py;test_crm_authz_hardening.py;test_secret_hygiene.py,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
app/main.py,33,8,sim,test_ai_tool_hardening.py;test_auth_hardening.py;test_auth_session_consistency.py;test_crm_authz_hardening.py;test_leads_deeplink_pinned.py;test_leads_keyset_pagination.py,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
app/models/lead.py,15,4,sim,test_ai_tool_hardening.py;test_data_integrity_constraints.py;test_leads_deeplink_pinned.py;test_leads_keyset_pagination.py,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
app/models/operational/card.py,20,1,sim,,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
app/models/pipeline.py,15,1,sim,test_leads_keyset_pagination.py,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
app/models/task.py,8,2,sim,test_crm_authz_hardening.py;test_data_integrity_constraints.py,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
app/models/user.py,21,0,sim,test_auth_session_consistency.py;test_crm_authz_hardening.py;test_data_integrity_constraints.py;test_leads_deeplink_pinned.py;test_leads_keyset_pagination.py,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
app/query_filters.py,20,2,sim,test_filter_normalization_and_backup.py;test_leads_keyset_pagination.py,"fix(backup,filtros): dump corrompido, NBSP inencontravel e NUL que der"
app/routers/ai.py,70,20,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/routers/analytics.py,37,6,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/routers/auth.py,21,6,sim,,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
app/routers/tags.py,35,9,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/routers/tasks.py,66,11,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/routers/teams.py,54,7,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/routers/users.py,91,36,nao,test_auth_hardening.py;test_conversas_auth_hardening.py;test_crm_authz_hardening.py,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/schemas/lead.py,40,2,sim,test_filter_normalization_and_backup.py;test_pipeline_inline_lead_edit.py,"fix(backup,filtros): dump corrompido, NBSP inencontravel e NUL que der"
app/schemas/pipeline.py,14,1,sim,test_frontend_injection_contract.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
app/schemas/task.py,23,9,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
